priority	ID	population	family	individual	alive2010	alive2011	alive2012	flowered2010	flowered2011	flowered2012	siliques2010	rosettes2010	diamf2010	siliques2010all	siliques2011	rosettes2011	diamf2011	siliques2011all	siliques2012	rosettes2012	diamf2012	siliques2012all	siliques20102012sumall			
1	E3-17-3	E3	17	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-17-4	E3	17	4	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-17-5	E3	17	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-17-6	E3	17	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-17-7	E3	17	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-17-8	E3	17	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-17-9	E3	17	9	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-17-10	E3	17	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-1	E3	18	1	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-2	E3	18	2	1	0	0	0	NA	NA	0	1	5	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-3	E3	18	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-4	E3	18	4	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-5	E3	18	5	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-6	E3	18	6	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-7	E3	18	7	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-8	E3	18	8	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-9	E3	18	9	1	0	0	0	NA	NA	0	1	2	0	0	0	NA	0	0	0	NA	0	0			
1	E3-18-10	E3	18	10	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
1	E3-19-1	E3	19	1	1	1	1	0	1	1	0	9	0,5	0	125	NA	NA	125	387	10	8	387	512			
1	E3-19-2	E3	19	2	1	1	1	0	1	1	0	1	3	0	47	7	6	47	1278	40	18	1278	1325			
1	E3-19-3	E3	19	3	0	0	0	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	NA	0	0			
