Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration
235	1	S	S2-3-2	S2	3	2	153	56	70	22	1	119
236	1	S	S2-4-1	S2	4	1	NA	NA	NA	NA	0	NA
237	1	S	S2-45-1	S2	45	1	153	56	70	22	1	56
238	1	S	S2-5-1	S2	5	1	167	70	84	36	1	61
239	1	S	S2-5-2	S2	5	2	151	54	68	20	1	37
240	1	S	S2-6-1	S2	6	1	NA	NA	NA	NA	0	NA
241	1	S	S2-6-2	S2	6	2	153	56	70	22	1	35
242	1	S	S2-7-1	S2	7	1	NA	NA	NA	NA	0	NA
243	1	S	S2-7-2	S2	7	2	192	95	109	61	1	75
244	1	S	S2-8-1	S2	8	1	153	56	70	22	1	119
245	1	S	S2-8-2	S2	8	2	151	54	68	20	1	29
246	1	S	S2-9-1	S2	9	1	163	66	80	32	1	109
247	1	S	S2-9-2	S2	9	2	NA	NA	NA	NA	NA	NA
248	1	S	S3-10-1	S3	10	1	153	56	70	22	1	35
249	1	S	S3-1-1	S3	1	1	167	70	84	36	1	34
250	1	S	S3-12-1	S3	12	1	177	80	94	46	1	51
251	1	S	S3-15-1	S3	15	1	NA	NA	NA	NA	0	NA
252	1	S	S3-19-1	S3	19	1	184	87	101	53	1	18
253	1	S	S3-21-1	S3	21	1	NA	NA	NA	NA	0	NA
254	1	S	S3-24-1	S3	24	1	171	74	88	40	1	66
255	1	S	S3-28-1	S3	28	1	153	56	70	22	1	119
256	1	S	S3-4-1	S3	4	1	167	70	84	36	1	105
257	1	S	S3-8-1	S3	8	1	NA	NA	NA	NA	0	NA
258	1	S	S4-10-1	S4	10	1	167	70	84	36	1	51
259	1	S	S4-10-2	S4	10	2	153	56	70	22	1	119
260	1	S	S4-14-1	S4	14	1	163	66	80	32	1	109
261	1	S	S4-14-2	S4	14	2	151	54	68	20	1	121
262	1	S	S4-23-1	S4	23	1	153	56	70	22	1	119
263	1	S	S4-23-2	S4	23	2	167	70	84	36	1	101
264	1	S	S4-35-1	S4	35	1	151	54	68	20	1	121
265	1	S	S4-35-2	S4	35	2	146	49	63	15	1	126
266	1	S	S4-3-7-1selfed	S4	3-7s	1	171	74	88	40	1	101
267	1	S	S4-3-7-2selfed2012	S4	3-7s	2	153	56	70	22	1	35
