Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration	still_flowering_at_end	use_for_duration
139	1	F	F1-PIC-326-2	F1PIC	326	2	149	52	66	18	1	123	272	0
140	1	F	F1-PIC-328-1	F1PIC	328	1	151	54	68	20	1	121	272	0
141	1	F	F1-PIC-328-2	F1PIC	328	2	146	49	63	15	1	126	272	0
142	1	F	F1-PIC-6self-5-1	F1PIC	6self-5	1	144	47	61	13	1	30	174	1
143	1	F	F1-PIC-6self-5-2	F1PIC	6self-5	2	149	52	66	18	1	39	188	1
144	1	F	F1-PIC-8self-1	F1PIC	8self	1	144	47	61	13	1	17	161	1
145	1	F	F2-101-2	F2GRA	101	2	156	59	73	25	1	32	188	1
146	1	F	F2-105-1	F2GRA	105	1	146	49	63	15	1	42	188	1
147	1	F	F2-105-2	F2GRA	105	2	146	49	63	15	1	28	174	1
148	1	F	F2-108-1	F2GRA	108	1	146	49	63	15	1	23	169	1
149	1	F	F2-108-2	F2GRA	108	2	146	49	63	15	1	23	169	1
150	1	F	F2-15-1	F2GRA	15	1	149	52	66	18	1	25	174	1
151	1	F	F2-15-1	F2GRA	15	2	NA	NA	NA	NA	0	NA	NA	0
152	1	F	F2-2-2	F2GRA	2	2	146	49	63	15	1	28	174	1
153	1	F	F2-28-2	F2GRA	28	2	149	52	66	18	1	43	192	1
154	1	F	F2-33-1	F2GRA	33	1	149	52	66	18	1	25	174	1
155	1	F	F2-33-2	F2GRA	33	2	146	49	63	15	1	34	180	1
156	1	F	F2-33-2_self-2	F2GRA	33-2_self	2	NA	NA	NA	NA	0	NA	NA	1
157	1	F	F2-39-1_self-1	F2GRA	39-1_self	1	144	47	61	13	1	128	272	0
158	1	F	F2-39-1_self-2	F2GRA	39-1_self	2	146	49	63	15	1	126	272	0
159	1	F	F2-49-1	F2GRA	49	1	NA	NA	NA	NA	0	NA	NA	0
160	1	F	F2-49-2	F2GRA	49	2	146	49	63	15	1	23	169	1
161	1	F	F2-61-1	F2GRA	61	1	151	54	68	20	1	37	188	1
162	1	F	F2-61-2	F2GRA	61	2	149	52	66	18	1	25	174	1
163	1	F	F2-71-2	F2GRA	71	2	NA	NA	NA	NA	0	NA	NA	0
164	1	F	F2-79-1	F2GRA	79	1	149	52	66	18	1	20	169	1
165	1	F	F2-79-2	F2GRA	79	2	NA	NA	NA	NA	0	NA	NA	0
166	1	F	F2-8-1	F2GRA	8	1	149	52	66	18	1	25	174	1
167	1	F	F2-8-2	F2GRA	8	2	151	54	68	20	1	37	188	1
168	1	F	F2-87-1	F2GRA	87	1	156	59	73	25	1	24	180	1
